Title,Date Filed
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Feldman_v_Pro_Football_Inc.txt,2011-03-25
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hernandez_v_Hunger.txt,2022-12-30
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Miller_v_Town_of_Wenham.txt,2016-08-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Schneider_v_Giant_of_Md_LLC.txt,2010-07-26
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Rosales_v_Bellagio_LLC.txt,2020-07-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Furgess_v_Pa_Dep't_of_Corr.txt,2019-08-08
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/AG_v_Paradise_Valley_Unified_Sch_Dist_No_69.txt,2016-03-03
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Berardelli_v_Allied_Servs_Inst_of_Rehab_Med.txt,2018-08-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Greer_v_Richardson_Indep_Sch_Dist.txt,2012-03-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Dansie_v_Union_Pac_RR_Co.txt,2022-08-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Childress_v_Fox_Assocs_LLC.txt,2019-08-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/JAM_v_Nova_Southeastern_Univ_Inc.txt,2016-04-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Aubrey_v_City_of_Bethlehem.txt,2012-03-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Reed_v_Columbia_St_Mary's_Hosp.txt,2019-02-08
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Wilkerson_v_Shinseki.txt,2010-06-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Disabled_in_Action_of_Pa_v_SEPTA.txt,2011-02-16
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Nehemiah_Kong_v_Mana_Inv_Co_LLC.txt,2020-06-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Celeste_v_E_Meadow_Union_Free_Sch_Dist.txt,2010-04-21
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Anderson_v_City_of_Blue_Ash.txt,2015-08-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Aubrey_v_Koppes.txt,2020-09-18
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Gil_v_Winn-Dixie_Stores_Inc.txt,2021-04-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Sharkey_v_O'Neal.txt,2015-02-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Campbell_v_Lamar_Inst_of_Tech.txt,2016-11-23
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Southwell_v_Summit_View_of_Farragut_LLC.txt,2012-08-09
