"","all_words","Freq"
"1143","00678",4
"1144","00679",4
"1145","0068",5
"1146","00680",5
"1147","00681",5
"1148","00682",3
"1149","00683",2
"1150","00684",6
"1151","00685",4
"1152","00686",2
"1153","00689",1
"1154","0069",7
"1155","00690",8
"1156","00691",1
"1157","00692",10
"1158","00693",8
"1159","00695",10
"1160","00696",1
"1161","00697",1
"1162","00698",1
"1163","00699",1
"1164","007",27
"1165","0070",3
"1166","00700",3
"1167","00700and",1
"1168","00701",6
"1169","00702",3
"1170","00703",5
"1171","00704",3
"1172","00705",3
"1173","00706",1
"1174","00708",2
"1175","00709",3
"1176","0071",2
"1177","00710",1
"1178","00711",4
"1179","00712",8
"1180","00713",1
"1181","00714",3
"1182","00716",4
"1183","00717",3
"1184","00718",1
"1185","00719",3
"1186","0071n",2
"1187","00720",3
"1188","00721",1
"1189","00722",6
"1190","00723",1
"1191","00724",4
"1192","00725",3
"1193","00726",4
"1194","00727",2
"1195","00728",2
"1196","00729",5
"1197","0073",1
"1198","00730",3
"1199","00731",7
"1200","00732",4
"1201","00733",3
"1202","00734",7
"1203","00735",3
"1204","00737",2
"1205","00738",3
"1206","00739",2
"1207","0074",7
"1208","00740",2
"1209","00741",4
"1210","00742",2
"1211","00743",1
"1212","00744",4
"1213","00745",2
"1214","00746",1
"1215","00747",2
"1216","00748",5
"1217","00749",4
"1218","0075",5
"1219","00750",2
"1220","00751",3
"1221","00752",1
"1222","00753",1
"1223","00754",3
"1224","00755",3
"1225","00756",2
"1226","00757",1
"1227","00759",1
"1228","0076",1
"1229","00760",1
"1230","00761",1
"1231","00762",1
"1232","00763",2
"1233","00764",1
"1234","00765",4
"1235","00766",1
"1236","00767",2
"1237","00768",2
"1238","0077",3
"1239","00770",3
"1240","00771",3
"1241","00773",1
"1242","00775",3
"1243","00776",2
"1244","00777",2
"1245","0077783",1
"1246","00779",1
"1247","0078",2
"1248","00781",3
"1249","00782",2
"1250","00783",2
"1251","00784",3
"1252","00785",8
"1253","00786",1
"1254","00787",3
"1255","00788",4
"1256","00789",1
"1257","0079",2
"1258","00790",1
"1259","00793",3
"1260","00797",1
"1261","00798",8
