"","all_words","Freq"
"851","00409",16
"852","0041",8
"853","004108",2
"854","00411",4
"855","004111",2
"856","00412",10
"857","00413",4
"858","00414",6
"859","00415",4
"860","00416",4
"861","00417",2
"862","00418",4
"863","00419",4
"864","0042",6
"865","00420",2
"866","00421",6
"867","004216",2
"868","004224",2
"869","00423",8
"870","00424",2
"871","00425",2
"872","00428",4
"873","00429",2
"874","0043",4
"875","00430",6
"876","00431",4
"877","00432",4
"878","00433",2
"879","004334",2
"880","00434",2
"881","00435",8
"882","00436",2
"883","00437",2
"884","004394",2
"885","004397",2
"886","0044",8
"887","00441",10
"888","00443",6
"889","00444",4
"890","004456",2
"891","004457",2
"892","00447",8
"893","00447c",2
"894","00449",2
"895","0045",4
"896","00450",2
"897","004505",2
"898","004506",2
"899","00451",6
"900","00452",6
"901","004524",2
"902","004525",2
"903","00452mps",2
"904","00453033",2
"905","00454",4
"906","00455",6
"907","004553",2
"908","00456",2
"909","004569",4
"910","00457",8
"911","004570",6
"912","00458",2
"913","004580",6
"914","00459",12
"915","004597",6
"916","004598",2
"917","0046",10
"918","00460",6
"919","00462",4
"920","00463",6
"921","00464",8
"922","00465",2
"923","00466",4
"924","004667",2
"925","004669",2
"926","00467",14
"927","004670",2
"928","00468",2
"929","004682",2
"930","004683",2
"931","00469",2
"932","0047",6
"933","00470",4
"934","004702",2
"935","004705",2
"936","00471",4
"937","004710",2
"938","00472",6
"939","00473",2
"940","00474",8
"941","00475",10
"942","00476",6
"943","00477",6
"944","004770",6
"945","004771",10
"946","00478",2
"947","0048",12
"948","00480",2
"949","00481",8
"950","004812",2
"951","00482",2
"952","004821",2
"953","00483",2
"954","00484",8
"955","00485",2
"956","00487",2
"957","00488",2
"958","00489",2
"959","0049",6
"960","00490",4
"961","00491",6
"962","00492",6
"963","00494",4
"964","004959",2
"965","00496",6
"966","004962",2
"967","00497",10
"968","00498",6
"969","00499",4
"970","004p",2
"971","005",52
"972","0050",2
"973","00501",4
"974","00502",4
"975","00503",2
"976","00504",2
"977","00507",4
"978","00508",10
"979","00509",10
"980","00510",2
"981","00511",4
"982","00512",2
"983","00513",8
"984","00514",2
"985","005163",2
"986","00517",8
"987","00519",2
"988","0052",8
"989","00521",4
"990","00522",16
"991","00523",10
"992","00524",2
"993","00525",2
"994","00527",6
"995","00528",4
"996","0053",6
"997","00530",2
"998","00531",12
"999","005317",2
"1000","00532",6
"1001","00533",4
"1002","00534",8
"1003","00535",18
"1004","00536",6
"1005","00537",2
"1006","005377",2
"1007","005379",2
"1008","00538",8
"1009","005382",4
"1010","005383",2
"1011","005386",2
"1012","00539",6
"1013","0054",44
"1014","00540",2
"1015","00541",2
"1016","005410",2
"1017","00547",2
"1018","00548",2
"1019","00549",2
"1020","0055",6
"1021","00551",2
"1022","00552",2
"1023","00554",8
"1024","00555",8
"1025","00556",2
"1026","00557",10
"1027","00558",16
"1028","00559",14
"1029","0056",2
"1030","00561",2
"1031","00563",10
"1032","00564",2
"1033","00565",2
"1034","00567",2
"1035","00568",2
"1036","00570",4
"1037","00571",2
"1038","00572",2
"1039","00573",2
"1040","00576",6
"1041","00578",2
"1042","00582",4
"1043","00583",14
"1044","00584",2
"1045","00587",4
"1046","00588",6
"1047","0059",2
"1048","00590",8
"1049","005907",6
"1050","00593",2
"1051","00594",6
"1052","00595",8
"1053","00596",10
"1054","00597",6
"1055","00598",4
"1056","00599",4
"1057","005r",2
"1058","006",134
"1059","0060",16
"1060","00601",4
"1061","00602",2
"1062","0060206",2
"1063","00603",2
"1064","00604",14
"1065","00605",4
"1066","00606",6
"1067","00607",6
"1068","006083",4
"1069","006084",2
"1070","00609",8
"1071","0061",8
"1072","00611",2
"1073","00613",2
"1074","006143",6
"1075","006147",4
"1076","006148",2
"1077","00615",2
"1078","006151",4
"1079","006152",2
"1080","00616",2
"1081","00617",16
"1082","00618",6
"1083","0062",10
"1084","00620",14
"1085","00621",2
"1086","00622",10
"1087","00623",4
"1088","00624",2
"1089","00626",12
"1090","00628",4
"1091","00629",10
"1092","0063",4
"1093","00630",2
"1094","00632",8
"1095","00633",6
"1096","00634",10
"1097","00635",10
"1098","00636",6
"1099","00637",4
"1100","00638",2
"1101","0064",2
"1102","00641",4
"1103","00642",4
"1104","00643",6
"1105","00646",8
"1106","00647",8
"1107","00648",6
"1108","00649",8
"1109","0065",2
"1110","00650",8
"1111","00651f",2
"1112","00652",2
"1113","00653",8
"1114","00654",2
"1115","00655",6
"1116","00655c",2
"1117","00656",2
"1118","00657",4
"1119","00658",2
"1120","0066",4
"1121","00660",2
"1122","00661",6
"1123","00662",6
"1124","00663",8
"1125","00664",6
"1126","00665",12
"1127","00666",6
"1128","00667",14
"1129","00668",4
"1130","00669",14
"1131","0067",6
"1132","00671",6
"1133","00672",2
"1134","00673",6
"1135","00674",6
"1136","00675",8
"1137","00676",4
"1138","00677",2
"1139","00678",8
"1140","00679",8
"1141","0068",10
"1142","00680",10
"1143","00681",10
"1144","00682",6
"1145","00683",4
"1146","00684",12
"1147","00685",8
"1148","00686",4
"1149","00689",2
"1150","0069",14
"1151","00690",16
"1152","00692",20
"1153","00693",16
"1154","00695",20
"1155","00696",2
"1156","00697",2
"1157","00698",2
"1158","00699",2
"1159","007",54
"1160","0070",6
"1161","00700",6
"1162","00700and",2
"1163","00701",12
"1164","00702",6
"1165","00703",8
"1166","00704",6
"1167","00705",6
"1168","00706",2
"1169","00708",4
"1170","00709",6
"1171","0071",4
"1172","00710",2
"1173","00711",8
"1174","00712",16
"1175","00713",2
"1176","00714",6
"1177","00716",8
"1178","00717",6
"1179","00718",2
"1180","00719",6
"1181","00720",6
"1182","00721",2
"1183","00722",12
"1184","00723",2
"1185","00724",8
"1186","00725",6
"1187","00726",6
"1188","00727",4
"1189","00728",4
"1190","00729",10
"1191","0073",2
"1192","00730",2
"1193","00731",14
"1194","00732",8
"1195","00733",6
"1196","00734",10
"1197","00735",6
"1198","00737",4
"1199","00738",6
"1200","00739",4
"1201","0074",14
"1202","00740",4
"1203","00741",8
"1204","00742",4
"1205","00743",2
"1206","00744",8
"1207","00745",4
"1208","00746",2
"1209","00747",4
"1210","00748",10
"1211","00749",8
"1212","0075",10
"1213","00750",4
"1214","00751",6
"1215","00752",2
"1216","00753",2
"1217","00754",6
"1218","00755",6
"1219","00756",4
"1220","00757",2
"1221","00759",2
"1222","0076",2
"1223","00760",2
"1224","00761",2
"1225","00762",2
"1226","00763",4
"1227","00764",2
"1228","00765",8
"1229","00766",2
"1230","00767",4
"1231","00768",4
"1232","0077",6
"1233","00770",6
"1234","00771",6
"1235","00773",2
"1236","00775",6
"1237","00776",4
"1238","00777",4
"1239","0077783",2
"1240","00779",2
"1241","0078",4
"1242","00781",6
"1243","00782",4
"1244","00783",4
"1245","00784",6
"1246","00785",8
"1247","00786",2
"1248","00787",6
"1249","00788",8
"1250","00789",2
"1251","0079",4
"1252","00790",2
"1253","00793",6
"1254","00797",2
"1255","00798",16
"1256","00799",2
"1257","008",32
"1258","0080",8
"1259","00800",4
"1260","00801",6
"1261","00802",2
"1262","00803",8
"1263","00804",4
"1264","00806",4
"1265","00807",6
"1266","00808",2
"1267","00809",2
"1268","008094",2
"1269","0081",6
"1270","00811",4
"1271","00812",4
"1272","00813",4
"1273","00814",8
"1274","00815",20
"1275","00816",2
"1276","00817",10
"1277","00818",4
"1278","00819",6
"1279","0082",2
"1280","00820",12
"1281","00821",2
"1282","00822",6
"1283","00823",4
"1284","00824",6
"1285","00825",2
"1286","00827",6
"1287","00828",14
"1288","00829",4
"1289","0083",8
"1290","00830",4
"1291","00831",8
"1292","00832",4
"1293","00833",2
"1294","00834",4
"1295","00836",6
"1296","00837",6
"1297","00838",4
"1298","00839",4
"1299","0084",4
"1300","00840",2
"1301","00842",4
